t,temp_c,hum
2025-08-13 15:14:09+08:00,24.4,70.6
2025-08-13 15:14:10+08:00,25.3,49.9
2025-08-13 15:14:11+08:00,24.4,70.6
2025-08-13 15:14:12+08:00,25.3,49.9
2025-08-13 15:14:14+08:00,25.3,49.9
2025-08-13 15:14:16+08:00,25.3,50.0
2025-08-13 15:14:18+08:00,24.4,71.0
2025-08-13 15:14:19+08:00,24.4,71.0
2025-08-13 15:14:20+08:00,25.3,50.4
2025-08-13 15:14:21+08:00,24.4,71.0
2025-08-13 15:14:22+08:00,25.3,50.4
2025-08-13 15:14:23+08:00,24.4,71.1
2025-08-13 15:14:24+08:00,25.3,50.5
2025-08-13 15:14:25+08:00,24.4,71.2
2025-08-13 15:14:26+08:00,25.3,50.4
2025-08-13 15:14:27+08:00,24.4,71.3
2025-08-13 15:14:28+08:00,25.3,50.4
2025-08-13 15:14:29+08:00,24.4,71.3
2025-08-13 15:14:30+08:00,25.3,50.4
2025-08-13 15:14:32+08:00,25.3,50.5
2025-08-13 15:14:34+08:00,25.3,50.4
2025-08-13 15:14:35+08:00,24.3,71.5
2025-08-13 15:14:36+08:00,25.3,50.3
2025-08-13 15:14:37+08:00,24.3,71.5
2025-08-13 15:14:38+08:00,25.3,50.3
2025-08-13 15:14:39+08:00,24.4,71.6
2025-08-13 15:14:40+08:00,25.3,50.3
2025-08-13 15:14:41+08:00,24.4,71.7
2025-08-13 15:14:42+08:00,25.3,50.3
2025-08-13 15:14:44+08:00,24.4,71.8
2025-08-13 15:14:45+08:00,24.3,71.8
2025-08-13 15:14:46+08:00,25.3,50.3
2025-08-13 15:14:47+08:00,24.3,71.8
2025-08-13 15:14:48+08:00,25.3,50.4
2025-08-13 15:14:49+08:00,24.3,71.9
2025-08-13 15:14:50+08:00,25.3,50.4
2025-08-13 15:14:51+08:00,24.3,72.0
2025-08-13 15:14:52+08:00,25.3,50.5
2025-08-13 15:14:54+08:00,24.3,72.0
2025-08-13 15:14:55+08:00,24.3,72.1
2025-08-13 15:14:56+08:00,25.3,50.5
2025-08-13 15:14:57+08:00,24.3,72.2
2025-08-13 15:14:58+08:00,25.3,50.5
2025-08-13 15:14:59+08:00,24.3,72.3
2025-08-13 15:15:00+08:00,25.3,50.6
2025-08-13 15:15:01+08:00,24.3,72.6
2025-08-13 15:15:02+08:00,25.3,50.6
2025-08-13 15:15:03+08:00,24.3,73.0
2025-08-13 15:15:04+08:00,25.3,50.7
2025-08-13 15:15:05+08:00,24.3,73.1
2025-08-13 15:15:06+08:00,25.3,50.7
2025-08-13 15:15:07+08:00,24.3,73.1
2025-08-13 15:15:08+08:00,25.3,50.8
2025-08-13 15:15:09+08:00,24.3,73.1
2025-08-13 15:15:10+08:00,25.3,50.8
2025-08-13 15:15:12+08:00,25.3,50.8
2025-08-13 15:15:14+08:00,25.3,50.8
2025-08-13 15:15:16+08:00,25.3,50.8
2025-08-13 15:15:17+08:00,24.3,73.3
2025-08-13 15:15:18+08:00,25.3,50.8
2025-08-13 15:15:19+08:00,24.3,73.2
2025-08-13 15:15:20+08:00,25.3,50.8
2025-08-13 15:15:21+08:00,24.3,73.3
2025-08-13 15:15:22+08:00,25.3,50.8
2025-08-13 15:15:24+08:00,24.3,73.3
2025-08-13 15:15:26+08:00,25.3,50.8
2025-08-13 15:15:28+08:00,24.3,73.5
2025-08-13 15:15:29+08:00,24.3,73.8
2025-08-13 15:15:30+08:00,25.3,50.9
2025-08-13 15:15:31+08:00,24.3,73.8
2025-08-13 15:15:32+08:00,25.3,51.0
2025-08-13 15:15:34+08:00,25.3,51.0
2025-08-13 15:15:35+08:00,24.3,73.8
2025-08-13 15:15:36+08:00,25.3,51.1
2025-08-13 15:15:37+08:00,24.3,73.8
2025-08-13 15:15:38+08:00,25.3,51.1
2025-08-13 15:15:39+08:00,24.3,73.8
2025-08-13 15:15:40+08:00,25.3,51.1
2025-08-13 15:15:42+08:00,24.3,73.8
2025-08-13 15:15:44+08:00,24.3,73.8
2025-08-13 15:15:46+08:00,24.3,73.8
2025-08-13 15:15:47+08:00,24.3,73.8
2025-08-13 15:15:48+08:00,25.3,51.3
2025-08-13 15:15:50+08:00,24.3,73.9
2025-08-13 15:15:51+08:00,24.3,73.9
2025-08-13 15:15:52+08:00,25.3,51.3
2025-08-13 15:15:53+08:00,24.3,73.9
2025-08-13 15:15:54+08:00,25.3,51.3
2025-08-13 15:15:55+08:00,24.3,74.0
2025-08-13 15:15:56+08:00,25.3,51.3
2025-08-13 15:15:58+08:00,25.3,51.4
2025-08-13 15:16:00+08:00,24.3,74.0
2025-08-13 15:16:01+08:00,24.3,74.1
2025-08-13 15:16:02+08:00,25.3,51.5
2025-08-13 15:16:04+08:00,24.3,74.1
2025-08-13 15:16:13+08:00,24.3,74.3
2025-08-13 15:16:14+08:00,25.3,51.6
2025-08-13 15:16:16+08:00,24.3,74.3
2025-08-13 15:16:18+08:00,24.3,74.4
